maker,name,price
アイ･オー･データ機器 I-O DATA,MPC-LVZ3PA [小型パソコン/Core i3-10110U/メモリ8GB/SSD 256GB/Windows 10 IoT Enterprise],"￥113,300"
デル DELL,DX70-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 256GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce GTX 1650 SUPER/ナイトスカイ],"￥199,800"
アイ･オー･データ機器 I-O DATA,MPC-LVZ2 [小型デスクトップパソコン/Intel Pentium Silver N5030/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise搭載],"￥69,080"
エイスース ASUS,PN64-S3301AD [超小型ミニパソコン/Core i3-1220P/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥75,110"
ミニスフォーラム MINISFORUM,GK41-8/128-W11Pro（J4125） [ミニPC/Celeron J4125/メモリ 8GB/SSD 128GB/Windows 11 Pro],"￥35,000"
レノボ･ジャパン Lenovo,90SM0066JP [デスクトップPC/IdeaCentre 370i/ Core i7/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home /グレー],"￥142,780"
エイスース ASUS,M3700WY-R55625LU [液晶一体型パソコン/Aio/27型/Ryzen 5 5625U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥149,800"
マウスコンピューター mouse computer,GTSPCMI124G305P22H [スリムゲーミングデスクトップパソコン/Core i5/メモリ 16GB/SSD 1TB （NVMe）/HDD 1TB/GeForce RTX 3050/DVDスーパーマルチドライブ/Windows11 Pro],"￥269,800"
デル DELL,AI577T-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥193,800"
NEC エヌイーシー,PC-A2355GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen5 7530U/メモリ 8GB/SSD 512GB/DVD/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥188,380"
エイスース ASUS,M3700WY-R75825LU [液晶一体型パソコン/Aio/27型/Ryzen 7 5825U/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥189,800"
レノボ･ジャパン Lenovo,90SM0061JP [デスクトップPC/ IdeaCentre 370i/ Core i3/HDD 1TB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥117,480"
HP,613V6PA-AAAG [一体型デスクトップパソコン/HP 27-cb0000 AiO G1モデル/27型/Ryzen 5 5500U/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥185,800"
デル DELL,DI60-CWL [Inspiron 3910 デスクトップ/Corei5 12400F/メモリ16GB DDR4/GTX 1660 SUPER/SSD 512GB/Windows 11 Home/ブラック],"￥144,800"
デル DELL,DI80-CWL [Inspiron 3910 デスクトップ/Corei7 12700F/メモリ16GB DDR4/GTX 1660 SUPER/SSD 512GB/Windows 11 Home/ブラック],"￥169,600"
HP,52M17PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥94,800"
エイサー Acer,RN96-F58Y [Revo Box/Core i5-1135G7/メモリ 8GB/512GB SSD/Windows 11 Home（64bit）/ブラック],"￥94,800"
ミニスフォーラム MINISFORUM,NPB7-32/512-W11Pro（13700H） [ミニパソコン/Core i7-13700H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥134,000"
レノボ･ジャパン Lenovo,90V70044JM [ゲーミングデスクトップパソコン/LegionTower 7i Gen8/Corei7-13700KF/GeForce RTX4080/メモリ 32GB/HDD2TB＋SSD2TB/Windows 11 Home/グレー],"￥550,000"
HP,613V7PA-AAAA [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 7/メモリ 16GB/SSD 512GB＋HDD 2TB/Windows 11 Home/スターリーホワイト],"￥183,700"
MSI エムエスアイ,PRO DP180 13TC-025JP [ビジネス向けデスクトップパソコン/Core i7-13700F/メモリ 16GB/SSD 1TB/GeForce RTX 3060/Windows 11 Pro/Office Home ＆ Business 2021],"￥250,800"
マイクロソフト Microsoft,SBF-00009 [Surface Studio 2+（サーフェス スタジオ 2プラス）/28インチ PixelSense/Core i7/メモリ 32GB/SSD 1TB/GeForce RTX 3060 Laptop GPU/Windows 11 Pro/Office Home and Business 2021/プラチナ],"￥719,180"
エイスース ASUS,M5401WYAK-WA031WS [デスクトップパソコン/ASUS ZenAiO 24 M5401WYAK/23.8型/Ryzen 7 5825U/メモリ 16GB/SSD 512G/HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥199,800"
デル DELL,AI537-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥137,000"
レノボ･ジャパン Lenovo,90SM0067JP [デスクトップPC/ IdeaCentre 370i/ Core i7/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥164,780"
エイスース ASUS,A3402WBAK-I31215LU [デスクトップパソコン/ASUS A3402WBAK/23.8型/Core i3-1215U/メモリ 8GB/SSD 512GB/Windows 11 Home/ブラック],"￥114,600"
ミニスフォーラム MINISFORUM,GK41-8/128-W10Pro（J4125） [小型デスクトップパソコン/CPU：Intel（R） Celeron（R） Processor J4125/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥37,370"
エイスース ASUS,A3402WBAK-I31215LUO [デスクトップパソコン/ASUS A3402WBAK/23.8型/Core i3-1215U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥137,550"
デル DELL,DX80VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce GTX 1660Ti/ナイトスカイ],"￥229,800"
ミニスフォーラム MINISFORUM,UM690-16/512-W11Pro（6900HX） [小型デスクトップパソコン/Ryzen 9 6900HX/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥125,480"
デル DELL,SI50-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ブラック],"￥121,800"
デル DELL,DX90VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce RTX 3060 LHR/ナイトスカイ],"￥249,800"
HP,52M17PA-AAAQ [デスクトップパソコン/HP Pavilion Desktop TP01-2000 G1モデル/Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ナチュラルシルバー],"￥119,800"
ECS イーシーエス,LIVAZ3-8/128-W11Pro（N6000） [小型デスクトップパソコン/Celeron Processor N6000/メモリ 8GB/eMMC 128GB/Windows 11 Pro],"￥65,340"
ガレリア GALLERIA,RR516S-1500-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥199,980"
